date,close
2016-12-05 20:59:19,67
2016-12-05 20:59:24,65
2016-12-05 20:59:30,65
2016-12-05 20:59:34,65
2016-12-05 20:59:40,67
2016-12-05 20:59:45,65
2016-12-05 20:59:47,67
2016-12-05 20:59:53,65
2016-12-05 20:59:56,65
2016-12-05 21:00:04,65
2016-12-05 21:00:10,65
2016-12-05 21:00:11,65
2016-12-05 21:00:23,64
2016-12-05 21:00:32,64
2016-12-05 21:00:35,64
2016-12-05 21:00:39,61
2016-12-05 21:00:45,61
2016-12-05 21:00:54,59
2016-12-05 21:00:55,59
2016-12-05 21:01:06,63
2016-12-05 21:01:07,63
2016-12-05 21:01:16,65
2016-12-05 21:01:17,65
2016-12-05 21:01:24,60
2016-12-05 21:01:29,60
2016-12-05 21:01:34,59
2016-12-05 21:01:38,59
2016-12-05 21:01:42,59
2016-12-05 21:01:51,61
2016-12-05 21:01:54,62
2016-12-05 21:01:59,63
2016-12-05 21:02:02,63
2016-12-05 21:02:07,62
2016-12-05 21:02:16,60
2016-12-05 21:02:20,59
2016-12-05 21:02:23,60
2016-12-05 21:02:31,60
2016-12-05 21:02:33,60
2016-12-05 21:02:42,59
2016-12-05 21:02:48,59
2016-12-05 21:02:53,59
2016-12-05 21:02:54,59
2016-12-05 21:02:59,62
2016-12-05 21:03:04,60
2016-12-05 21:03:09,61
2016-12-05 21:03:19,58
2016-12-05 21:03:26,58
2016-12-05 21:03:29,57
2016-12-05 21:03:33,57
2016-12-05 21:03:39,57
2016-12-05 21:03:44,58
2016-12-05 21:03:52,58
2016-12-05 21:03:54,58
2016-12-05 21:03:59,58
2016-12-05 21:04:08,59
2016-12-05 21:04:13,59
2016-12-05 21:04:15,58
2016-12-05 21:04:19,59
2016-12-05 21:04:24,59
2016-12-05 21:04:30,62
2016-12-05 21:04:34,61
2016-12-05 21:04:40,61
2016-12-05 21:04:44,61
2016-12-05 21:04:52,61
2016-12-05 21:04:55,61
2016-12-05 21:05:00,62
2016-12-05 21:05:09,61
2016-12-05 21:05:12,61
2016-12-05 21:05:17,59
2016-12-05 21:05:20,59
2016-12-05 21:05:26,61
2016-12-05 21:05:32,65
2016-12-05 21:05:37,64
2016-12-05 21:05:45,68
2016-12-05 21:05:50,64
2016-12-05 21:05:55,67
2016-12-05 21:05:57,67
2016-12-05 21:06:07,59
2016-12-05 21:06:12,59
2016-12-05 21:06:16,58
2016-12-05 21:06:21,58
2016-12-05 21:06:24,58
2016-12-05 21:06:32,58
2016-12-05 21:06:33,58
2016-12-05 21:06:38,58
2016-12-05 21:06:45,59
2016-12-05 21:06:50,59
2016-12-05 21:06:56,62
2016-12-05 21:07:01,60
2016-12-05 21:07:08,62
2016-12-05 21:07:11,64
2016-12-05 21:07:20,63
